drum_id,tree_id,ind_id,context,tree_all_id,species,n_buttresses,circumference,DBH_measure,DBH_calc,use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029DR,024TR,ALF,display,P24_03,UNK,2,86,28,27.37465021,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030DR,025TR,ILA,resting,P25_01,CYA,11,,94,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031DR,025TR,ILA,display,P25_01,CYA,11,,94,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032DR,025TR,SAM,display,P25_01,CYA,11,,94,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030DR,025TR,ILA,resting,P25_02,ME,3,194,52,61.75211792,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031DR,025TR,ILA,display,P25_02,ME,3,194,52,61.75211792,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032DR,025TR,SAM,display,P25_02,ME,3,194,52,61.75211792,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033DR,026TR,ILA,eating,P26_01,CYA,11,313,94,99.63099438,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033DR,026TR,ILA,eating,P26_02,CMI,5,,100,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034DR,027TR,SAM,resting,P27_01,CYA,8,197,61,62.70704758,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034DR,027TR,SAM,resting,P27_02,HG,12,,104,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036DR,028TR,ILA,travel,P28_01,CAL,8,204,50,64.93521678,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037DR,028TR,FID,travel,P28_01,CAL,8,204,50,64.93521678,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036DR,028TR,ILA,travel,P28_02,FUE,4,83,23,26.41972055,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037DR,028TR,FID,travel,P28_02,FUE,4,83,23,26.41972055,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038DR,029TR,ALF,resting,P29_01,CAL,9,179,65,56.97746963,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039DR,029TR,MAS,resting,P29_01,CAL,9,179,65,56.97746963,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040DR,029TR,FID,resting,P29_01,CAL,9,179,65,56.97746963,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038DR,029TR,ALF,resting,P29_02,CPR,3,260,79,82.76057041,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
